       MPI_RANK          TOTAL         SOURCE      STIFFNESS      MASS_TERM     BOUNDARIES     TIME_MARCH       MPI_COMM    WAVE_OUTPUT       SCANNING
              0        10.5473    0.000424681        4.23427       0.406521     0.00230006       0.262546        5.28207        0.06402    0.000177828
              1        10.5449     0.00047257         4.2714       0.323792     0.00132949       0.226696        5.35925      0.0982653    0.000289433
              2        10.5442    0.000500624        4.57259       0.348867     0.00113985       0.243365         4.8849       0.174052    0.000256285
              3        10.5478    0.000459744        4.53081       0.401963     0.00469568       0.242804        5.01952      0.0565013    0.000207459
              4        10.5476    0.000384505        4.95464       0.409456       0.012399       0.280318        4.53694    0.000574507    0.000339558
              5        10.5478    0.000511161        5.93616       0.648911      0.0235536       0.446919        2.95083    0.000785368    0.000282944
              6         10.545      0.0150489        4.47526       0.351671     0.00621098       0.232655         5.1554      0.0313366    0.000330633
              7        10.5513    0.000605775        5.32476       0.575614      0.0233644       0.392837        3.82635    0.000816731    0.000279317
              8        10.5436    0.000417511         3.5352       0.283617     0.00613287        0.18838        6.27723      0.0362182    0.000305884
              9        10.5483    0.000451233         4.9434       0.397025      0.0119936        0.27872        4.56118    0.000711673    0.000334104
             10        10.5482    0.000455493        5.39843       0.408533     0.00363958       0.289516        3.97918      0.0911026    0.000213967
             11        10.5454    0.000500245        3.48199       0.272021     0.00136973       0.187507        6.30575      0.0855332    0.000282488
             12        10.5449    0.000463346        7.35578       0.515941     0.00188584       0.386508        1.11315       0.522429    0.000429006
             13        10.5476    0.000574459        6.07713       0.517932     0.00308894       0.319773         2.8654       0.257774    0.000359749
             14        10.5525    0.000464802        6.32384       0.547534       0.005701       0.388427        2.77991    0.000798323    0.000312709
             15        10.5472    0.000502255        7.49785       0.553913     0.00152296       0.382549        1.01271       0.445038    0.000402478

