#name network latitude longitude useless depth
1 A 0.0 -180.0 0 0
2 A 0.0 -170.0 0 0
3 A 0.0 -160.0 0 0
4 A 0.0 -150.0 0 0
5 A 0.0 -140.0 0 0
6 A 0.0 -130.0 0 0
7 A 0.0 -120.0 0 0
8 A 0.0 -110.0 0 0
9 A 0.0 -100.0 0 0
10 A 0.0 -90.0 0 0
11 A 0.0 -80.0 0 0
12 A 0.0 -70.0 0 0
13 A 0.0 -60.0 0 0
14 A 0.0 -50.0 0 0
15 A 0.0 -40.0 0 0
16 A 0.0 -30.0 0 0
17 A 0.0 -20.0 0 0
18 A 0.0 -10.0 0 0
19 A 0.0 0.0 0 0
20 A 0.0 10.0 0 0
21 A 0.0 20.0 0 0
22 A 0.0 30.0 0 0
23 A 0.0 40.0 0 0
24 A 0.0 50.0 0 0
25 A 0.0 60.0 0 0
26 A 0.0 70.0 0 0
27 A 0.0 80.0 0 0
28 A 0.0 90.0 0 0
29 A 0.0 100.0 0 0
30 A 0.0 110.0 0 0
31 A 0.0 120.0 0 0
32 A 0.0 130.0 0 0
33 A 0.0 140.0 0 0
34 A 0.0 150.0 0 0
35 A 0.0 160.0 0 0
36 A 0.0 170.0 0 0
37 A 0.0 180.0 0 0
38 A -90.0 0.0 0 0
39 A -80.0 0.0 0 0
40 A -70.0 0.0 0 0
41 A -60.0 0.0 0 0
42 A -50.0 0.0 0 0
43 A -40.0 0.0 0 0
44 A -30.0 0.0 0 0
45 A -20.0 0.0 0 0
46 A -10.0 0.0 0 0
47 A 0.0 0.0 0 0
48 A 10.0 0.0 0 0
49 A 20.0 0.0 0 0
50 A 30.0 0.0 0 0
51 A 40.0 0.0 0 0
52 A 50.0 0.0 0 0
53 A 60.0 0.0 0 0
54 A 70.0 0.0 0 0
55 A 80.0 0.0 0 0
56 A 90.0 0.0 0 0
