#name network latitude longitude useless depth
0 A 42.0 146.0 0.0 948582.0
1 A 47.0 -111.0 0.0 390231.0
2 A 50.0 180.0 0.0 1561154.0
3 A 57.0 136.0 0.0 599285.0
4 A -24.0 169.0 0.0 1164920.0
5 A -44.0 -7.0 0.0 711741.0
6 A -7.0 -86.0 0.0 71187.0
7 A -16.0 -11.0 0.0 1212630.0
8 A -16.0 -63.0 0.0 192303.0
9 A -40.0 -83.0 0.0 734598.0
10 A -36.0 -46.0 0.0 2514568.0
11 A 1.0 -122.0 0.0 1090987.0
12 A 60.0 148.0 0.0 822003.0
13 A -62.0 -118.0 0.0 1226412.0
14 A 55.0 84.0 0.0 1831007.0
15 A 73.0 -125.0 0.0 25270.0
16 A -12.0 -46.0 0.0 2099878.0
17 A 5.0 -19.0 0.0 1748267.0
18 A 43.0 171.0 0.0 1187179.0
19 A 12.0 162.0 0.0 39985.0
20 A 21.0 -155.0 0.0 994385.0
21 A -10.0 -122.0 0.0 89436.0
22 A -6.0 -155.0 0.0 379202.0
23 A 32.0 97.0 0.0 136050.0
24 A 36.0 70.0 0.0 1596959.0
25 A -5.0 20.0 0.0 2584412.0
26 A 7.0 -126.0 0.0 86973.0
27 A -23.0 -130.0 0.0 1735940.0
28 A -44.0 62.0 0.0 1278127.0
29 A -22.0 90.0 0.0 341461.0
30 A -44.0 -145.0 0.0 2834695.0
31 A 25.0 -96.0 0.0 1355664.0
32 A -38.0 76.0 0.0 1011160.0
33 A 21.0 -71.0 0.0 1516868.0
34 A 29.0 129.0 0.0 57289.0
35 A 28.0 113.0 0.0 514254.0
36 A -17.0 138.0 0.0 1157344.0
37 A 13.0 166.0 0.0 2236988.0
38 A 19.0 -173.0 0.0 947266.0
39 A -1.0 -78.0 0.0 543698.0
40 A 68.0 -128.0 0.0 2685320.0
41 A 0.0 129.0 0.0 1300614.0
42 A 72.0 171.0 0.0 963592.0
43 A 38.0 162.0 0.0 200597.0
44 A 69.0 -163.0 0.0 1215698.0
45 A -12.0 -42.0 0.0 1444925.0
46 A 16.0 47.0 0.0 334229.0
47 A -55.0 -159.0 0.0 2390390.0
48 A 30.0 172.0 0.0 416956.0
49 A -55.0 -14.0 0.0 54237.0
50 A -40.0 -37.0 0.0 1936888.0
51 A 6.0 31.0 0.0 989728.0
52 A -43.0 -139.0 0.0 2260327.0
53 A -23.0 53.0 0.0 1089591.0
54 A 68.0 169.0 0.0 1981545.0
55 A -27.0 100.0 0.0 891865.0
56 A 15.0 -132.0 0.0 1186904.0
57 A -16.0 48.0 0.0 265138.0
58 A 56.0 -81.0 0.0 2408840.0
59 A 14.0 -159.0 0.0 984736.0
60 A 56.0 145.0 0.0 970352.0
61 A -14.0 106.0 0.0 2308782.0
62 A 49.0 98.0 0.0 1695725.0
63 A 18.0 -43.0 0.0 2012824.0
64 A 10.0 85.0 0.0 2607247.0
65 A -34.0 103.0 0.0 407102.0
66 A -82.0 17.0 0.0 1544359.0
67 A 22.0 122.0 0.0 150762.0
68 A -64.0 122.0 0.0 467578.0
69 A -10.0 34.0 0.0 2094850.0
70 A -29.0 -168.0 0.0 1646222.0
71 A 45.0 -97.0 0.0 1362075.0
72 A -69.0 -149.0 0.0 1607427.0
73 A -33.0 46.0 0.0 2532956.0
74 A -6.0 -54.0 0.0 247195.0
75 A 22.0 179.0 0.0 1465118.0
76 A 49.0 160.0 0.0 1041012.0
77 A -38.0 -143.0 0.0 238101.0
78 A -2.0 -54.0 0.0 862214.0
79 A 29.0 100.0 0.0 765109.0
80 A 14.0 -65.0 0.0 95605.0
81 A -1.0 -135.0 0.0 358992.0
82 A 7.0 -38.0 0.0 525814.0
83 A -42.0 154.0 0.0 1487062.0
84 A 28.0 77.0 0.0 1498512.0
85 A -60.0 -158.0 0.0 897386.0
86 A 66.0 91.0 0.0 1093451.0
87 A -49.0 -68.0 0.0 2058584.0
88 A 50.0 -75.0 0.0 2253548.0
89 A -59.0 48.0 0.0 1370240.0
90 A 12.0 -84.0 0.0 94308.0
91 A 19.0 -146.0 0.0 2013642.0
92 A 40.0 -177.0 0.0 2079508.0
93 A 47.0 107.0 0.0 1614313.0
94 A 27.0 17.0 0.0 180578.0
95 A -78.0 -134.0 0.0 1646089.0
96 A -15.0 -63.0 0.0 2316573.0
97 A -64.0 -157.0 0.0 159003.0
98 A 43.0 39.0 0.0 1915045.0
99 A -65.0 -100.0 0.0 575381.0
100 A -66.0 -135.0 0.0 59021.0
101 A 22.0 -137.0 0.0 1431877.0
102 A 54.0 174.0 0.0 1949144.0
103 A 73.0 62.0 0.0 118440.0
104 A -62.0 169.0 0.0 1195442.0
105 A 19.0 18.0 0.0 1547721.0
106 A 6.0 -162.0 0.0 2277192.0
107 A -54.0 -128.0 0.0 2253383.0
108 A 1.0 129.0 0.0 1456090.0
109 A -16.0 -78.0 0.0 2270245.0
110 A 13.0 89.0 0.0 1312401.0
111 A -41.0 -118.0 0.0 414871.0
112 A -64.0 -140.0 0.0 1069380.0
113 A -67.0 103.0 0.0 1665109.0
114 A 18.0 -129.0 0.0 281658.0
115 A 58.0 151.0 0.0 458020.0
116 A -58.0 150.0 0.0 2187899.0
117 A 40.0 -107.0 0.0 1039138.0
118 A 19.0 -36.0 0.0 51823.0
119 A -6.0 137.0 0.0 1316624.0
120 A -37.0 54.0 0.0 919592.0
121 A 34.0 -144.0 0.0 2584407.0
122 A 15.0 136.0 0.0 894698.0
123 A 46.0 -162.0 0.0 1232979.0
124 A -62.0 -158.0 0.0 1612016.0
125 A -55.0 146.0 0.0 536553.0
126 A -56.0 -15.0 0.0 2543271.0
127 A 5.0 -121.0 0.0 1129820.0
128 A 29.0 1.0 0.0 173571.0
129 A -50.0 172.0 0.0 1732040.0
130 A -18.0 107.0 0.0 875529.0
131 A -35.0 -111.0 0.0 107448.0
132 A 37.0 -42.0 0.0 2030514.0
133 A -31.0 62.0 0.0 2703622.0
134 A 27.0 62.0 0.0 728299.0
135 A -67.0 135.0 0.0 1402615.0
136 A 29.0 125.0 0.0 717958.0
137 A 13.0 92.0 0.0 20559.0
138 A -47.0 22.0 0.0 711447.0
139 A -9.0 53.0 0.0 425345.0
140 A 37.0 -18.0 0.0 903674.0
141 A -44.0 76.0 0.0 2714821.0
142 A 39.0 -10.0 0.0 1614932.0
143 A -38.0 81.0 0.0 1357594.0
144 A -26.0 -37.0 0.0 1155839.0
145 A -8.0 -104.0 0.0 2663534.0
146 A -6.0 57.0 0.0 98808.0
147 A -59.0 -175.0 0.0 1345151.0
148 A 40.0 93.0 0.0 2773.0
149 A -30.0 -98.0 0.0 1009557.0
150 A 62.0 -19.0 0.0 525278.0
151 A 3.0 -71.0 0.0 2125338.0
152 A -23.0 173.0 0.0 531623.0
153 A -13.0 -66.0 0.0 1642264.0
154 A -42.0 34.0 0.0 1418589.0
155 A 9.0 39.0 0.0 1221836.0
156 A -14.0 -115.0 0.0 706682.0
157 A -12.0 -24.0 0.0 2099778.0
158 A -22.0 9.0 0.0 1958193.0
159 A 32.0 -21.0 0.0 93236.0
160 A -2.0 147.0 0.0 952584.0
161 A -34.0 41.0 0.0 2828298.0
162 A -31.0 -159.0 0.0 644935.0
163 A -0.0 -14.0 0.0 1814538.0
164 A 9.0 -124.0 0.0 331148.0
165 A 22.0 -50.0 0.0 519157.0
166 A 65.0 124.0 0.0 493241.0
167 A -4.0 -95.0 0.0 2640693.0
168 A -66.0 10.0 0.0 2420523.0
169 A -56.0 -137.0 0.0 668685.0
170 A 83.0 -104.0 0.0 2069500.0
171 A 45.0 179.0 0.0 84700.0
172 A -27.0 153.0 0.0 620677.0
173 A 15.0 -160.0 0.0 1602728.0
174 A -0.0 -101.0 0.0 422330.0
175 A 24.0 -6.0 0.0 647838.0
176 A -10.0 -134.0 0.0 1137646.0
177 A -1.0 -169.0 0.0 2313605.0
178 A 26.0 -127.0 0.0 1408069.0
179 A -19.0 129.0 0.0 16171.0
180 A -40.0 130.0 0.0 2360701.0
181 A 17.0 19.0 0.0 526459.0
182 A -75.0 -120.0 0.0 2135951.0
183 A -7.0 -168.0 0.0 2696439.0
184 A 74.0 107.0 0.0 1458497.0
185 A -40.0 -103.0 0.0 1080619.0
186 A -8.0 -129.0 0.0 1219422.0
187 A 12.0 139.0 0.0 832084.0
188 A 25.0 145.0 0.0 961480.0
189 A 30.0 95.0 0.0 1106483.0
190 A -8.0 36.0 0.0 2202623.0
191 A 29.0 -127.0 0.0 865877.0
192 A -57.0 -77.0 0.0 1051707.0
193 A 1.0 -62.0 0.0 1162248.0
194 A 31.0 -172.0 0.0 849526.0
195 A 0.0 -103.0 0.0 608898.0
196 A -4.0 -2.0 0.0 2063585.0
197 A 11.0 0.0 0.0 778448.0
198 A -17.0 -149.0 0.0 1742805.0
199 A 25.0 26.0 0.0 2089688.0
200 A -44.0 78.0 0.0 798223.0
201 A 16.0 -80.0 0.0 1512330.0
202 A 12.0 -114.0 0.0 286921.0
203 A -9.0 11.0 0.0 2195398.0
204 A -39.0 -155.0 0.0 1118688.0
205 A 53.0 -0.0 0.0 433873.0
206 A -23.0 143.0 0.0 578604.0
207 A 51.0 78.0 0.0 129637.0
208 A 30.0 80.0 0.0 2179442.0
209 A -57.0 164.0 0.0 1243385.0
210 A 56.0 52.0 0.0 2840796.0
211 A -40.0 -174.0 0.0 525531.0
212 A -4.0 -73.0 0.0 971236.0
213 A -39.0 91.0 0.0 513914.0
214 A -50.0 -152.0 0.0 1555730.0
215 A 20.0 60.0 0.0 2613875.0
216 A 33.0 3.0 0.0 2104248.0
217 A 17.0 52.0 0.0 614449.0
218 A 27.0 -15.0 0.0 28259.0
219 A 25.0 103.0 0.0 150630.0
220 A -14.0 -118.0 0.0 2246227.0
221 A 49.0 -141.0 0.0 501589.0
222 A -47.0 -75.0 0.0 2167779.0
223 A 24.0 13.0 0.0 2786138.0
224 A -20.0 135.0 0.0 1018110.0
225 A 5.0 -33.0 0.0 257877.0
226 A 75.0 -151.0 0.0 2480239.0
227 A 21.0 172.0 0.0 739026.0
228 A 41.0 -174.0 0.0 95848.0
229 A 32.0 -173.0 0.0 1632633.0
230 A -35.0 126.0 0.0 547678.0
231 A 81.0 -5.0 0.0 348455.0
232 A 22.0 29.0 0.0 1838114.0
233 A 33.0 -156.0 0.0 92913.0
234 A 6.0 117.0 0.0 1253836.0
235 A 45.0 -85.0 0.0 201318.0
236 A -65.0 10.0 0.0 1523117.0
237 A 9.0 -62.0 0.0 2487276.0
238 A 21.0 -6.0 0.0 1243703.0
239 A -2.0 65.0 0.0 411062.0
240 A 4.0 1.0 0.0 2688489.0
241 A -16.0 -3.0 0.0 998022.0
242 A -64.0 100.0 0.0 1397607.0
243 A 29.0 10.0 0.0 351725.0
244 A 51.0 -102.0 0.0 1818251.0
245 A -9.0 -96.0 0.0 1080820.0
246 A -60.0 -132.0 0.0 1267674.0
247 A 43.0 -132.0 0.0 1611749.0
248 A 58.0 95.0 0.0 1378472.0
249 A 34.0 -8.0 0.0 544389.0
250 A 29.0 -94.0 0.0 820458.0
251 A 50.0 13.0 0.0 2534598.0
252 A 15.0 94.0 0.0 2074518.0
253 A 9.0 -98.0 0.0 1428423.0
254 A -14.0 -168.0 0.0 2495617.0
255 A -39.0 -3.0 0.0 126586.0
256 A -27.0 106.0 0.0 381951.0
257 A -24.0 155.0 0.0 1664537.0
258 A -18.0 -65.0 0.0 424305.0
259 A 29.0 5.0 0.0 1184119.0
260 A -27.0 -68.0 0.0 1075910.0
261 A -27.0 79.0 0.0 1492074.0
262 A 14.0 -6.0 0.0 1453295.0
263 A -6.0 -99.0 0.0 588095.0
264 A 72.0 154.0 0.0 53931.0
265 A 75.0 12.0 0.0 895011.0
266 A 39.0 91.0 0.0 125738.0
267 A -10.0 -70.0 0.0 168388.0
268 A 63.0 -65.0 0.0 2849590.0
269 A -0.0 107.0 0.0 1175162.0
270 A 16.0 -78.0 0.0 914316.0
271 A 23.0 -123.0 0.0 2859719.0
272 A -24.0 -46.0 0.0 864958.0
273 A -43.0 127.0 0.0 606365.0
274 A 31.0 -78.0 0.0 2125469.0
275 A 33.0 97.0 0.0 505551.0
276 A -30.0 -100.0 0.0 1280087.0
277 A -55.0 46.0 0.0 2810235.0
278 A 13.0 161.0 0.0 320594.0
279 A 33.0 -67.0 0.0 582837.0
280 A -30.0 -115.0 0.0 2580074.0
281 A 13.0 -4.0 0.0 1674664.0
282 A 19.0 -110.0 0.0 1694396.0
283 A -15.0 140.0 0.0 543480.0
284 A 42.0 94.0 0.0 224770.0
285 A -84.0 58.0 0.0 1258818.0
286 A 16.0 -32.0 0.0 170257.0
287 A -29.0 -134.0 0.0 2822751.0
288 A 20.0 91.0 0.0 1737435.0
289 A 8.0 -37.0 0.0 110726.0
290 A 38.0 169.0 0.0 57054.0
291 A 76.0 177.0 0.0 159959.0
292 A 29.0 -43.0 0.0 1153161.0
293 A 7.0 -16.0 0.0 2134643.0
294 A 24.0 -96.0 0.0 992789.0
295 A -14.0 25.0 0.0 1608569.0
296 A 7.0 140.0 0.0 1636699.0
297 A -22.0 -91.0 0.0 915083.0
298 A -66.0 41.0 0.0 1194678.0
299 A 26.0 148.0 0.0 2497471.0
