#name network latitude longitude useless depth
STA_-90_-180 A -90 -180 0 0
STA_-90_-170 A -90 -170 0 0
STA_-90_-160 A -90 -160 0 0
STA_-90_-150 A -90 -150 0 0
STA_-90_-140 A -90 -140 0 0
STA_-90_-130 A -90 -130 0 0
STA_-90_-120 A -90 -120 0 0
STA_-90_-110 A -90 -110 0 0
STA_-90_-100 A -90 -100 0 0
STA_-90_-90 A -90 -90 0 0
STA_-90_-80 A -90 -80 0 0
STA_-90_-70 A -90 -70 0 0
STA_-90_-60 A -90 -60 0 0
STA_-90_-50 A -90 -50 0 0
STA_-90_-40 A -90 -40 0 0
STA_-90_-30 A -90 -30 0 0
STA_-90_-20 A -90 -20 0 0
STA_-90_-10 A -90 -10 0 0
STA_-90_0 A -90 0 0 0
STA_-90_10 A -90 10 0 0
STA_-90_20 A -90 20 0 0
STA_-90_30 A -90 30 0 0
STA_-90_40 A -90 40 0 0
STA_-90_50 A -90 50 0 0
STA_-90_60 A -90 60 0 0
STA_-90_70 A -90 70 0 0
STA_-90_80 A -90 80 0 0
STA_-90_90 A -90 90 0 0
STA_-90_100 A -90 100 0 0
STA_-90_110 A -90 110 0 0
STA_-90_120 A -90 120 0 0
STA_-90_130 A -90 130 0 0
STA_-90_140 A -90 140 0 0
STA_-90_150 A -90 150 0 0
STA_-90_160 A -90 160 0 0
STA_-90_170 A -90 170 0 0
STA_-90_180 A -90 180 0 0
STA_-80_-180 A -80 -180 0 0
STA_-80_-170 A -80 -170 0 0
STA_-80_-160 A -80 -160 0 0
STA_-80_-150 A -80 -150 0 0
STA_-80_-140 A -80 -140 0 0
STA_-80_-130 A -80 -130 0 0
STA_-80_-120 A -80 -120 0 0
STA_-80_-110 A -80 -110 0 0
STA_-80_-100 A -80 -100 0 0
STA_-80_-90 A -80 -90 0 0
STA_-80_-80 A -80 -80 0 0
STA_-80_-70 A -80 -70 0 0
STA_-80_-60 A -80 -60 0 0
STA_-80_-50 A -80 -50 0 0
STA_-80_-40 A -80 -40 0 0
STA_-80_-30 A -80 -30 0 0
STA_-80_-20 A -80 -20 0 0
STA_-80_-10 A -80 -10 0 0
STA_-80_0 A -80 0 0 0
STA_-80_10 A -80 10 0 0
STA_-80_20 A -80 20 0 0
STA_-80_30 A -80 30 0 0
STA_-80_40 A -80 40 0 0
STA_-80_50 A -80 50 0 0
STA_-80_60 A -80 60 0 0
STA_-80_70 A -80 70 0 0
STA_-80_80 A -80 80 0 0
STA_-80_90 A -80 90 0 0
STA_-80_100 A -80 100 0 0
STA_-80_110 A -80 110 0 0
STA_-80_120 A -80 120 0 0
STA_-80_130 A -80 130 0 0
STA_-80_140 A -80 140 0 0
STA_-80_150 A -80 150 0 0
STA_-80_160 A -80 160 0 0
STA_-80_170 A -80 170 0 0
STA_-80_180 A -80 180 0 0
STA_-70_-180 A -70 -180 0 0
STA_-70_-170 A -70 -170 0 0
STA_-70_-160 A -70 -160 0 0
STA_-70_-150 A -70 -150 0 0
